ID,Grupo,Fabricante,Modelo,Ano
279,RETRO SUPERCARS,1988,Lamborghini,Countach LP5000 QV
280,RETRO SUPERCARS,1997,Lamborghini,Diablo SV
281,EXTREME TRACK TOYS,1999,Lamborghini,Diablo GTR
282,MODERN SUPERCARS,2008,Lamborghini,Reventón
283,MODERN SUPERCARS,2010,Lamborghini,Murciélago LP 670-4 SV
284,MODERN SUPERCARS,2011,Lamborghini,Gallardo LP 570-4 Superleggera
285,EXTREME TRACK TOYS,2011,Lamborghini,Sesto Elemento
286,HYPERCARS,2012,Lamborghini,Aventador LP700-4
287,HYPERCARS,2013,Lamborghini,Veneno
288,MODERN SUPERCARS,2014,Lamborghini,Huracán LP 610-4
289,HYPERCARS,2016,Lamborghini,Aventador Superveloce
290,HYPERCARS,2016,Lamborghini,Centenario LP 770-4
291,TRACK TOYS,2018,Lamborghini,Huracán Performante
292,SPORTS UTILITY HEROES,2019,Lamborghini,Urus
293,PICK-UP & 4X4'S,1972,Land Rover,Series III
294,PICK-UP & 4X4'S,1973,Land Rover,Range Rover
295,PICK-UP & 4X4'S,1997,Land Rover,Defender 90
296,SPORTS UTILITY HEROES,2015,Land Rover,Range Rover Sport SVR
297,SPORTS UTILITY HEROES,2018,Land Rover,Range Rover Velar First Edition
298,SPORTS UTILITY HEROES,2020,Land Rover,Defender 110 X
299,RETRO SPORTS CARS,1997,Lexus,SC300
300,MODERN SUPERCARS,2010,Lexus,LFA
301,SUPER SALOONS,2015,Lexus,RC F
302,UNLIMITED OFFROAD,2014,Local Motors,Rally Fighter
303,CLASSIC RACERS,1969,Lola,#6 Penske Sunoco T70 MkIIIB
304,CLASSIC SPORTS CARS,1971,Lotus,Elan Sprint
305,RETRO SUPERCARS,1997,Lotus,Elise GT1
306,RETRO SPORTS CARS,1999,Lotus,Elise Series 1 Sport 190
307,MODERN SPORTS CARS,2012,Lotus,Exige S
308,TRACK TOYS,2016,Lotus,3-Eleven
309,HYPERCARS,2020,Lotus,Evija
310,EXTREME TRACK TOYS,2008,Maserati,MC12 Versione Corsa
311,GT CARS,2010,Maserati,Gran Turismo S
312,SPORTS UTILITY HEROES,2017,Maserati,Levante S
313,RETRO SPORTS CARS,1990,Mazda,Savanna RX-7
314,RETRO SPORTS CARS,1994,Mazda,MX-5 Miata
315,RETRO SPORTS CARS,1997,Mazda,RX-7
316,RETRO SPORTS CARS,2002,Mazda,RX-7 Spirit R Type-A
317,RETRO SPORTS CARS,2005,Mazda,Mazdaspeed MX-5
318,MODERN SPORTS CARS,2011,Mazda,RX-8 R3
319,MODERN SPORTS CARS,2013,Mazda,MX-5
320,MODERN SPORTS CARS,2016,Mazda,MX-5
321,RETRO SUPERCARS,1993,McLaren,F1
322,RETRO SUPERCARS,1997,McLaren,F1 GT
323,HYPERCARS,2013,McLaren,P1
324,MODERN SUPERCARS,2015,McLaren,650S Coupé
325,MODERN SUPERCARS,2015,McLaren,570S Coupé
326,MODERN SUPERCARS,2018,McLaren,720S Coupé
327,HYPERCARS,2018,McLaren,Senna
328,TRACK TOYS,2018,McLaren,600LT Coupé
329,MODERN SUPERCARS,2019,McLaren,720S Spider
330,HYPERCARS,2019,McLaren,Speedtail
331,SUPER GT,2020,McLaren,GT
332,SUPER SALOONS,2016,Mercedes-AMG,C 63 S Coupé
333,SUPER GT,2017,Mercedes-AMG,GT R
334,SUPER SALOONS,2018,Mercedes-AMG,GT 4-Door Coupé
335,SUPER SALOONS,2018,Mercedes-AMG,E 63 S
336,HYPERCARS,2021,Mercedes-AMG,Mercedes-AMG ONE
337,RARE CLASSICS,1929,Mercedes-Benz,SSK
338,VINTAGE RACERS,1939,Mercedes-Benz,W154
339,RARE CLASSICS,1954,Mercedes-Benz,300 SL Coupé
340,RETRO SALOONS,1987,Mercedes-Benz,AMG Hammer Coupe
341,RETRO SALOONS,1990,Mercedes-Benz,190E 2.5-16 Evolution II
342,RETRO SUPERCARS,1998,Mercedes-Benz,AMG CLK GTR
343,SUPER GT,2011,Mercedes-Benz,SLS AMG
344,MODERN SPORTS CARS,2012,Mercedes-Benz,SLK 55 AMG
345,SUPER SALOONS,2012,Mercedes-Benz,C 63 AMG Coupé Black Series
346,PICK-UP & 4X4'S,2013,Mercedes-Benz,G 65 AMG
347,SUPER HOT HATCH,2013,Mercedes-Benz,A 45 AMG
348,SUPER SALOONS,2013,Mercedes-Benz,E 63 AMG
349,TRUCKS,2014,Mercedes-Benz,Unimog U5023
350,PICK-UP & 4X4'S,2014,Mercedes-Benz,G 63 AMG 6x6
351,TRUCKS,2015,Mercedes-Benz,#24 Tankpool24 Racing Truck
352,PICK-UP & 4X4'S,2018,Mercedes-Benz,X-Class
353,CULT CARS,1971,Meyers,Manx
354,RALLY MONSTERS,1986,MG,Metro 6R4
355,CLASSIC RALLY,1965,Mini,Cooper S
356,HOT HATCH,2009,Mini,John Cooper Works
357,HOT HATCH,2012,Mini,John Cooper Works GP
358,OFFROAD,2013,Mini,X-Raid ALL4 Racing Countryman
359,SPORTS UTILITY HEROES,2018,Mini,John Cooper Works Countryman ALL4
360,OFFROAD,2018,Mini,X-Raid John Cooper Works Buggy
361,RETRO SPORTS CARS,1988,Mitsubishi,Starion ESI-R
362,RETRO SPORTS CARS,1995,Mitsubishi,Eclipse GSX
363,RETRO SPORTS CARS,1997,Mitsubishi,GTO
364,RETRO RALLY,1999,Mitsubishi,Lancer Evolution VI GSR
365,MODERN RALLY,2004,Mitsubishi,Lancer Evolution VIII MR
366,MODERN RALLY,2006,Mitsubishi,Lancer Evolution IX MR
367,MODERN RALLY,2008,Mitsubishi,Lancer Evolution X GSR
368,MODERN RALLY,2008,Mitsubishi,"Lancer Evolution X GSR ""Welcome Pack"""
369,CULT CARS,2014,Morgan,3 Wheeler
371,EXTREME TRACK TOYS,2010,Mosler,MT900S
372,VINTAGE RACERS,1933,Napier,Napier-Railton
373,CLASSIC SPORTS CARS,1969,Nissan,Fairlady Z 432
374,CLASSIC SPORTS CARS,1971,Nissan,Skyline 2000GT-R
375,CLASSIC SPORTS CARS,1973,Nissan,Skyline H/T 2000GT-R
376,RETRO SPORTS CARS,1987,Nissan,Skyline GTS-R (HR31)
377,RETRO RALLY,1990,Nissan,Pulsar GTI-R
378,RETRO SPORTS CARS,1992,Nissan,Silvia CLUB K's
379,RETRO SPORTS CARS,1993,Nissan,Skyline GT-R V-Spec
380,RETRO SPORTS CARS,1993,Nissan,240SX SE
381,RETRO SPORTS CARS,1994,Nissan,Fairlady Z Version S Twin Turbo
382,RETRO SPORTS CARS,1994,Nissan,Silvia K's
383,RETRO SPORTS CARS,1995,Nissan,NISMO GT-R LM
384,RETRO SPORTS CARS,1997,Nissan,Skyline GT-R V-Spec
385,RETRO SUPERCARS,1998,Nissan,R390 (GT1)
386,RETRO SPORTS CARS,1998,Nissan,Silvia K's Aero
387,RETRO SPORTS CARS,2000,Nissan,Silvia Spec-R
388,RETRO SPORTS CARS,2002,Nissan,Skyline GT-R V-Spec II
389,RETRO SPORTS CARS,2003,Nissan,Fairlady Z
390,UNLIMITED OFFROAD,2004,Nissan,Pickup #23 Rally Raid
391,MODERN SPORTS CARS,2010,Nissan,370Z
392,MODERN SUPERCARS,2012,Nissan,GT-R Black Edition (R35)
393,PICK-UP & 4X4'S,2016,Nissan,Titan Warrior Concept
394,MODERN SUPERCARS,2017,Nissan,GT-R (R35)
395,RALLY MONSTERS,1984,Opel,Manta 400
396,HYPERCARS,2009,Pagani,Zonda Cinque Roadster
397,EXTREME TRACK TOYS,2010,Pagani,Zonda R
398,HYPERCARS,2016,Pagani,Huayra BC
399,UNLIMITED BUGGIES,2011,Penhall,The Cholla
400,RETRO RALLY,1984,Peugeot,205 Turbo 16
401,RETRO HOT HATCH,1991,Peugeot,205 Rallye
402,RALLY MONSTERS,2007,Peugeot,207 Super 2000
403,CLASSIC MUSCLE,1971,Plymouth,Cuda 426 Hemi
404,UTV'S,2015,Polaris,RZR XP 1000 EPS
405,CLASSIC MUSCLE,1965,Pontiac,GTO
406,CLASSIC MUSCLE,1977,Pontiac,Firebird Trans Am
407,RETRO MUSCLE,1987,Pontiac,Firebird Trans Am GTA
408,RARE CLASSICS,1959,Porsche,356 A 1600 Super
409,CLASSIC RACERS,1970,Porsche,#3 917 LH
410,CLASSIC SPORTS CARS,1970,Porsche,914/6
411,RETRO SUPERCARS,1982,Porsche,911 Turbo 3.3
412,RALLY MONSTERS,1985,Porsche,#185 959 Prodrive Rally Raid
413,RETRO SUPERCARS,1987,Porsche,959
414,RETRO SPORTS CARS,1989,Porsche,944 Turbo
415,RALLY MONSTERS,1989,Porsche,#65 Rothsport Racing 911 'Desert Flyer'
416,RETRO SPORTS CARS,1993,Porsche,968 Turbo S
417,RETRO SUPERCARS,1995,Porsche,911 GT2
418,RETRO SUPERCARS,1998,Porsche,911 GT1 Strassenversion
419,RETRO SUPERCARS,2003,Porsche,Carrera GT
420,RETRO SUPERCARS,2004,Porsche,911 GT3
421,TRACK TOYS,2012,Porsche,911 GT2 RS
422,MODERN SUPERCARS,2014,Porsche,911 Turbo S
423,HYPERCARS,2014,Porsche,918 Spyder
424,MODERN SPORTS CARS,2015,Porsche,Cayman GTS
425,TRACK TOYS,2016,Porsche,911 GT3 RS
426,TRACK TOYS,2016,Porsche,Cayman GT4
427,SUPER SALOONS,2017,Porsche,Panamera Turbo
428,MODERN SPORTS CARS,2018,Porsche,718 Cayman GTS
429,TRACK TOYS,2018,Porsche,911 GT2 RS
430,SPORTS UTILITY HEROES,2018,Porsche,Cayenne Turbo
431,OFFROAD,2018,Porsche,Macan LPR Rally Raid
432,MODERN SPORTS CARS,2019,Porsche,911 Carrera S
433,TRACK TOYS,2019,Porsche,911 GT3 RS
434,SPORTS UTILITY HEROES,2019,Porsche,Macan Turbo
435,SUPER SALOONS,2020,Porsche,Taycan Turbo S
436,SUPER SALOONS,2020,Porsche,"Taycan Turbo S ""Welcome Pack"""
437,EXTREME TRACK TOYS,2015,Radical,RXC Turbo
438,PICK-UP & 4X4'S,2017,RAM,2500 Power Wagon
439,CULT CARS,1972,Reliant,Supervan III
440,RETRO RALLY,1980,Renault,5 Turbo
441,RETRO HOT HATCH,1993,Renault,Clio Williams
442,SUPER HOT HATCH,2008,Renault,Mégane R26.R
443,HOT HATCH,2013,Renault,Clio R.S. 200 EDC
444,SUPER HOT HATCH,2018,Renault,MEGANE R.S.
445,HYPERCARS,2019,Rimac,Concept Two
446,UNLIMITED OFFROAD,2016,RJ Anderson,#37 Polaris RZR-Rockstar Energy Pro 2 Truck
447,RETRO SUPERCARS,2004,Saleen,S7
448,MODERN SUPERCARS,2018,Saleen,S1
449,RARE CLASSICS,1965,Shelby,Cobra 427 S/C
450,CLASSIC RACERS,1965,Shelby,Cobra Daytona Coupe
